,OWT,band,b1,b2,r2
0,1,444,1.010123119454626,1.1738376785447313e-06,0.9999241529890018
1,1,497,0.9219727666902453,-0.00013632582561090827,0.9987780891438192
2,1,560,1.0122056657490675,1.9618469001309903e-05,0.9998089899826192
3,1,665,1.0077929093743832,4.679757630650464e-06,0.9995285907601604
4,1,704,1.028728584209511,1.0704170287238491e-05,0.9958581361562456
5,1,782,1.005978843061464,-2.8526314235976586e-06,0.9995930498971806
6,2,444,1.0046407414613032,2.5966357143574793e-05,0.9999414431320127
7,2,497,0.9200082736920289,-0.00013720767046537102,0.9960041173922191
8,2,560,0.993873974431963,3.9975608809372743e-05,0.9963071110413103
9,2,665,0.9957760048100265,7.125922777139555e-06,0.9958020793647757
10,2,704,1.0253269982938895,1.5885759728298943e-05,0.9883942489607683
11,2,782,0.9370329127664045,-1.2900166911110477e-06,0.9766382662604534
12,3,444,1.005462717876014,2.532394006255975e-07,0.999891875261777
13,3,497,0.895553093726937,1.3641545885418466e-05,0.9972350429876405
14,3,560,0.9977790721540032,3.638904060330431e-05,0.99924256846429
15,3,665,1.0356877233627328,2.4699681600893228e-06,0.9994758354932904
16,3,704,1.0796711313332221,1.2107281300340278e-05,0.9972787738995799
17,3,782,1.0618264966612794,-2.97517180441674e-06,0.9926314750613167
18,4,444,1.0049552689879544,-7.311663579243066e-06,0.9999300896129246
19,4,497,0.9036785721011165,5.745907799800318e-05,0.9962258105553133
20,4,560,1.0128685968925364,-3.721431680309053e-06,0.9982548403665112
21,4,665,0.9992192645588397,8.593707143216532e-06,0.996845785536876
22,4,704,1.0278204239612785,2.1676931681619983e-05,0.9935184817402314
23,4,782,0.9351370019942339,2.0631924095816184e-06,0.981367490022901
24,5,444,0.9990090856332685,-1.1744395896707074e-06,0.9999452604456852
25,5,497,0.8812907873432325,0.00011028089690832965,0.9940948274370679
26,5,560,1.0161846822313831,-1.3957068104432455e-05,0.9996753059062392
27,5,665,1.0246621941816962,6.350777628500728e-06,0.9964423671409354
28,5,704,1.0343172841895438,2.9983602729712224e-05,0.9872012014054987
29,5,782,0.8070332802833905,6.4770692594859764e-06,0.930812478396531
30,5,865,0.9109023316553393,2.122886635665946e-06,1.0
31,6,444,1.0007437987593575,4.645328919653403e-06,0.999949016180923
32,6,497,0.9207168504937729,5.805271407656031e-05,0.998113394573185
33,6,560,1.0018606289158298,1.5157502709288277e-06,0.9995567704558128
34,6,665,1.0083714360518703,1.1149052586802762e-05,0.9975688401738529
35,6,704,1.0126914600030958,3.1859756136726496e-05,0.9892745453098298
36,6,782,0.9638154290136615,1.6524370872539676e-07,0.9954715959116184
37,7,444,0.9977435034105534,1.4659785255179657e-06,0.9999807880840299
38,7,497,0.9239116172023465,3.660266546500531e-05,0.9995443904491158
39,7,560,1.0002830267980687,3.226133289581899e-06,0.9999357447843373
40,7,665,1.0191332463253897,1.436343744347097e-05,0.9988301460791318
41,7,704,1.0687399852361317,3.462691324640163e-05,0.9917357548455418
42,7,782,0.9802628142319848,-1.434881122552281e-06,0.9974755179887048
43,7,865,1.0009930686709423,-2.817513974160145e-07,0.9999951614076661
44,8,444,0.9977020779077606,8.021092521813544e-06,0.9999755188465603
45,8,497,0.9522547691297332,1.8335034898780446e-05,0.9996303455299498
46,8,560,0.9943519257007928,5.094509012909705e-06,0.999927918298848
47,8,665,1.0385366128406206,4.4866823623444145e-06,0.9993965605913085
48,8,704,1.1755774147474713,1.1165063150436153e-05,0.9947123167659838
49,8,782,0.9053381979124594,4.858240563890707e-06,0.9877802189018816
50,8,865,0.989733640390862,9.664136587625482e-08,0.9999700004638522
51,9,444,0.9952935350943157,2.177241867416628e-07,0.9999785576462152
52,9,497,0.9554489109637527,-1.3884716963515065e-05,0.9990809343310643
53,9,560,0.992159057513599,1.064608441198392e-05,0.9999401242224488
54,9,665,1.045265880012573,-1.0728825647383792e-06,0.9991863619167645
55,9,704,1.1319128119712776,2.174373189690117e-05,0.9935181413855029
56,9,782,0.9797407041340357,-8.61980048939468e-08,0.9902526049356184
57,9,865,1.0007058125420565,3.247919704168513e-07,0.9997671096649439
58,10,444,0.9935659824380723,1.1854478064742685e-05,0.9999933058142139
59,10,497,0.9762472262992541,2.6320285432168168e-05,0.9997641587455232
60,10,560,0.9931414106397952,8.296211170879912e-06,0.9999250040148352
61,10,665,1.0478274446405176,7.355479967191547e-07,0.9998574530007414
62,10,704,1.2028366912279262,-9.993328234346194e-07,0.9987867212459122
63,10,782,0.9907235099846181,8.835599152468964e-07,0.9963171054879696
64,10,865,0.9987546002113226,3.274190906902858e-06,0.9984318448031281
65,11,444,0.9976360533217414,1.2384674244994738e-05,0.9999936124879472
66,11,497,0.9833832719879123,1.260076607982434e-06,0.9996110113523529
67,11,560,0.9963934923142865,-3.401286749972216e-05,0.999963927107877
68,11,665,1.0209468651918672,1.551893194601554e-05,0.9997340547405141
69,11,704,1.0422672225064618,7.828000013320553e-05,0.9970478901821569
70,11,782,0.9972449620758952,-3.5750672887384025e-06,0.9999152303646721
71,11,865,0.9995252325121503,1.3786726254772473e-06,0.9999827155863027
72,12,444,0.9933373253522852,9.958619585375209e-06,0.9999824624118961
73,12,497,0.9809907599655324,0.0001420861732200603,0.9989225355080914
74,12,560,0.9926742722864978,-3.22055811971169e-05,0.9999275219476335
75,12,665,1.0417624586374947,2.3251499514244378e-05,0.9998339963591529
76,12,704,1.1793485130556065,8.540332943622348e-06,0.9984664527446332
77,12,865,1.003625146803842,-6.42033351737196e-07,0.9990012824471464
78,13,444,0.9978939192553591,1.5580890621399827e-05,0.9999212788947314
79,13,497,0.9991002520090683,0.00010343450816273879,0.9992292394313448
80,13,560,0.9911842994655581,-2.531947934777609e-05,0.999869875940293
81,13,665,1.045794291051238,1.3234627441130725e-05,0.9994940242758296
82,13,704,1.0581479942465126,0.00016663367191273185,0.9949591248578687
83,13,782,0.9992160868879828,-1.0053302899877374e-06,0.9992850218215681
84,13,865,0.9999059609135799,2.9962644447096296e-06,0.9994850482703586
85,14,444,0.9957408665021573,1.1303942075352458e-05,0.9999521353646779
86,14,497,1.0151099618069956,8.017711750112413e-05,0.9993068852195861
87,14,560,0.9891952261201787,-2.034057383924065e-05,0.999949032353318
88,14,665,1.0450918958255624,1.5920834367737224e-05,0.9995791010222134
89,14,704,1.1206832436588703,5.559168839590085e-05,0.997547357225017
90,14,782,1.000377808457641,6.274875699560081e-06,0.9975017934619558
91,14,865,1.0005625842327077,4.011646294326812e-06,0.9998782146730102
92,15,444,0.9967249032602621,4.0163348121943776e-07,0.9999244282966073
93,15,497,1.0132297797548284,5.1876169728854414e-05,0.9980465337355526
94,15,560,0.9893713092778901,-2.899662953877169e-05,0.9998925456314182
95,15,665,1.0634149803239632,4.9217170353123806e-06,0.9993299022488726
96,15,704,1.1587069111035357,3.884092332339241e-05,0.9964685538383391
97,15,782,0.9923517466230578,3.6875016863594412e-06,0.9891422801187484
98,15,865,1.0011001078607016,2.0295811047359082e-08,0.9995603913965171
99,16,444,0.9954005141360837,3.363131164811281e-05,0.9998991736114934
100,16,497,1.0312174884499214,0.00011984927071978166,0.9990707767353438
101,16,560,0.9854250833832788,-1.1627044912865259e-05,0.9998322634856588
102,16,665,1.0332876576167436,0.00010620007875944762,0.9986876663099088
103,16,704,0.9685610544781933,0.0009371859932937928,0.9845078081221664
104,16,782,1.003729371533624,9.580002745722405e-06,0.99996914388303
105,16,865,1.0020365099476891,7.515167296184323e-06,0.9999784729470995
106,17,444,1.0075671849994938,-3.848807376054773e-06,0.9996702811580507
107,17,497,1.0757660243946279,-1.5763635610560947e-05,0.9955584519348947
108,17,560,0.9752037424658185,4.1682717186884016e-05,0.9998148914615537
109,17,665,1.0715158850112536,2.2485614035658297e-06,0.9994092995023792
110,17,704,0.8236490784339655,0.0014057187334428345,0.9878050077258882
111,17,782,1.0002725807115276,1.1443754553417881e-05,0.9999952287190552
112,17,865,1.000795107225043,5.045297090257306e-06,0.99999864358496
113,18,444,0.998571029926963,2.325252883902647e-05,0.9994927821416103
114,18,497,1.1282727661450938,-0.00021415884634210305,0.996496691315086
115,18,560,0.9624410191999692,0.00013563428147028884,0.9998162366320714
116,18,665,1.066346207460226,4.120812252541e-05,0.9992735580389468
117,18,704,0.8729394161013936,0.0006599703201051778,0.9884020847525098
118,18,782,1.0035006191366436,-2.7332196676603526e-06,0.9999667201402512
119,18,865,1.0005340180780709,2.819652194244182e-06,0.9999855783847357
120,19,444,0.99327428231795,2.1612952498702154e-05,0.9999631647659446
121,19,497,1.03638097656344,3.211701809838381e-05,0.9993095742599102
122,19,560,0.9897638127981913,-2.2182492650971164e-05,0.9999308016148106
123,19,665,1.0041500279420006,0.00020877907578391655,0.9992909129662018
124,19,704,1.0077423547223279,0.0004940101073729955,0.9959968383813739
125,19,782,1.00207488693187,2.698350666993643e-05,0.999977865789174
126,19,865,1.001383898184216,1.196670328354639e-05,0.9999913194267444
127,20,444,0.9868604227654579,7.99684977752322e-06,0.999924846196704
128,20,497,1.047592222997418,8.815003052793473e-05,0.9989117431623626
129,20,560,0.9896169193961369,-1.4155188716519912e-05,0.9999840154442847
